date,market,riskfree,return,vol
2014-08-29,0.00234686,0.0005,0.004097144,0.02454474
2014-09-02,-0.000803311,0.0005,-0.00473904,0.296483066
2014-09-03,0.003376619,0.0005,-0.000922954,-0.635535913
2014-09-04,-0.002121409,0.0005,0.031745365,1.566596969
2014-09-05,0.000474126,0.0005,-0.022140372,-0.461058208
2014-09-08,-0.003026852,0.0005,-0.024101883,9.454846979
2014-09-10,0.000108056,0.0005,0.012731137,-0.440442089
2014-09-11,9.26E-05,0.0005,0.000566644,-0.374148143
2014-09-12,-0.004784394,0.0005,-0.007068546,-0.387964844
2014-09-15,-0.002543267,0.0005,-0.003972153,0.797972472
2014-09-16,0.0024176,0.0004,-0.025019415,0.117089777
2014-09-17,0.00233422,0.0005,-0.024778799,0.557493456
2014-09-18,0.003001888,0.0004,-0.064481236,3.166516211
2014-09-19,-0.001774144,0.0004,-0.063734397,-0.086322684
2014-09-22,-0.008778302,0.0004,0.021664106,-0.454676757
2014-09-23,-0.006119712,0.0004,0.07749587,2.549666471
2014-09-24,0.003835625,0.0003,-0.025400458,-0.566052285
2014-09-25,-0.011236306,0.0003,-0.02880958,-0.025597395
2014-09-26,0.001991465,0.0003,-0.016343109,-0.303087928
2014-09-29,-0.004211622,0.0005,-0.064476612,1.538244048
2014-09-30,-0.003088913,0.0003,0.04222341,-0.085820314
2014-10-01,-0.010924143,0.0004,-0.014871795,-0.405503852
2014-10-02,-0.005960174,0.0003,-0.02961999,0.004473208
2014-10-03,0.00402421,0.0003,-0.037953972,0.94092713
2014-10-06,0.00332397,0.0005,0.096319499,-0.191518239
2014-10-07,-0.00986668,0.0004,-0.018065476,-0.496751224
2014-10-08,0.005055415,0.0005,0.07292456,0.034102606
2014-10-09,-0.010156703,0.0005,0.016977881,0.765536827
2014-10-10,-0.016279032,0.0004,-0.006166667,-0.422769243
2014-10-14,-0.001000233,0.0004,0.015144273,0.273185648
2014-10-15,-0.00815172,0.0005,-0.025475182,-0.394348228
2014-10-16,-0.00214511,0.0005,-0.036160203,-0.014724657
2014-10-20,0.007943322,0.0006,-0.014932674,2.549346868
2014-10-21,0.01354525,0.0006,0.007004522,-0.164634496
